date,kospi
2017-01-02,2026.16
2017-01-03,2043.97
2017-01-04,2045.64
2017-01-05,2041.95
2017-01-06,2049.12
2017-01-07,
2017-01-08,
2017-01-09,2048.78
2017-01-10,2045.12
2017-01-11,2075.17
2017-01-12,2087.14
2017-01-13,2076.79
2017-01-14,
2017-01-15,
2017-01-16,2064.17
2017-01-17,2071.87
2017-01-18,2070.54
2017-01-19,2072.79
2017-01-20,2065.61
2017-01-21,
2017-01-22,
2017-01-23,2065.99
2017-01-24,2065.76
2017-01-25,2066.94
2017-01-26,2083.59
2017-01-27,
2017-01-28,
2017-01-29,
2017-01-30,
2017-01-31,2067.57
2017-02-01,2080.48
2017-02-02,2071.01
2017-02-03,2073.16
2017-02-04,
2017-02-05,
2017-02-06,2077.66
2017-02-07,2075.21
2017-02-08,2065.08
2017-02-09,2065.88
2017-02-10,2075.08
2017-02-11,
2017-02-12,
2017-02-13,2078.65
2017-02-14,2074.57
2017-02-15,2083.86
2017-02-16,2081.84
2017-02-17,2080.58
2017-02-18,
2017-02-19,
2017-02-20,2084.39
2017-02-21,2102.93
2017-02-22,2106.61
2017-02-23,2107.63
2017-02-24,2094.12
2017-02-25,
2017-02-26,
2017-02-27,2085.52
2017-02-28,2091.64
2017-03-01,
2017-03-02,2102.65
2017-03-03,2078.75
2017-03-04,
2017-03-05,
2017-03-06,2081.36
2017-03-07,2094.05
2017-03-08,2095.41
2017-03-09,2091.06
2017-03-10,2097.35
2017-03-11,
2017-03-12,
2017-03-13,2117.59
2017-03-14,2133.78
2017-03-15,2133
2017-03-16,2150.08
2017-03-17,2164.58
2017-03-18,
2017-03-19,
2017-03-20,2157.01
2017-03-21,2178.38
2017-03-22,2168.3
2017-03-23,2172.72
2017-03-24,2168.95
2017-03-25,
2017-03-26,
2017-03-27,2155.66
2017-03-28,2163.31
2017-03-29,2166.98
2017-03-30,2164.64
2017-03-31,2160.23
2017-04-01,
2017-04-02,
2017-04-03,2167.51
2017-04-04,2161.1
2017-04-05,2160.85
2017-04-06,2152.75
2017-04-07,2151.73
2017-04-08,
2017-04-09,
2017-04-10,2133.32
2017-04-11,2123.85
2017-04-12,2128.91
2017-04-13,2148.61
2017-04-14,2134.88
2017-04-15,
2017-04-16,
2017-04-17,2145.78
2017-04-18,2148.46
2017-04-19,2138.4
2017-04-20,2149.15
2017-04-21,2165.04
2017-04-22,
2017-04-23,
2017-04-24,2173.74
2017-04-25,2196.85
2017-04-26,2207.84
2017-04-27,2209.46
2017-04-28,2205.44
2017-04-29,
2017-04-30,
2017-05-01,
2017-05-02,2219.67
2017-05-03,
2017-05-04,2241.24
2017-05-05,
2017-05-06,
2017-05-07,
2017-05-08,2292.76
2017-05-09,
2017-05-10,2270.12
2017-05-11,2296.37
2017-05-12,2286.02
2017-05-13,
2017-05-14,
2017-05-15,2290.65
2017-05-16,2295.33
2017-05-17,2293.08
2017-05-18,2286.82
2017-05-19,2288.48
2017-05-20,
2017-05-21,
2017-05-22,2304.03
2017-05-23,2311.74
2017-05-24,2317.34
2017-05-25,2342.93
2017-05-26,2355.3
2017-05-27,
2017-05-28,
2017-05-29,2352.97
2017-05-30,2343.68
2017-05-31,2347.38
2017-06-01,2344.61
2017-06-02,2371.72
2017-06-03,
2017-06-04,
2017-06-05,2368.62
2017-06-06,
2017-06-07,2360.14
2017-06-08,2363.57
2017-06-09,2381.69
2017-06-10,
2017-06-11,
2017-06-12,2357.87
2017-06-13,2374.7
2017-06-14,2372.64
2017-06-15,2361.65
2017-06-16,2361.83
2017-06-17,
2017-06-18,
2017-06-19,2370.9
2017-06-20,2369.23
2017-06-21,2357.53
2017-06-22,2370.37
2017-06-23,2378.6
2017-06-24,
2017-06-25,
2017-06-26,2388.66
2017-06-27,2391.95
2017-06-28,2382.56
2017-06-29,2395.66
2017-06-30,2391.79
2017-07-01,
2017-07-02,
2017-07-03,2394.48
2017-07-04,2380.52
2017-07-05,2388.35
2017-07-06,2387.81
2017-07-07,2379.87
2017-07-08,
2017-07-09,
2017-07-10,2382.1
2017-07-11,2396
2017-07-12,2391.77
2017-07-13,2409.49
2017-07-14,2414.63
2017-07-15,
2017-07-16,
2017-07-17,2425.1
2017-07-18,2426.04
2017-07-19,2429.94
2017-07-20,2441.84
2017-07-21,2450.06
2017-07-22,
2017-07-23,
2017-07-24,2451.53
2017-07-25,2439.9
2017-07-26,2434.51
2017-07-27,2443.24
2017-07-28,2400.99
2017-07-29,
2017-07-30,
2017-07-31,2402.71
2017-08-01,2422.96
2017-08-02,2427.63
2017-08-03,2386.85
2017-08-04,2395.45
2017-08-05,
2017-08-06,
2017-08-07,2398.75
2017-08-08,2394.73
2017-08-09,2368.39
2017-08-10,2359.47
2017-08-11,2319.71
2017-08-12,
2017-08-13,
2017-08-14,2334.22
2017-08-15,
2017-08-16,2348.26
2017-08-17,2361.67
2017-08-18,2358.37
2017-08-19,
2017-08-20,
2017-08-21,2355
2017-08-22,2365.33
2017-08-23,2366.4
2017-08-24,2375.84
2017-08-25,2378.51
2017-08-26,
2017-08-27,
2017-08-28,2370.3
2017-08-29,2364.74
2017-08-30,2372.29
2017-08-31,2363.19
2017-09-01,2357.69
2017-09-02,
2017-09-03,
2017-09-04,2329.65
2017-09-05,2326.62
2017-09-06,2319.82
2017-09-07,2346.19
2017-09-08,2343.72
2017-09-09,
2017-09-10,
2017-09-11,2359.08
2017-09-12,2365.47
2017-09-13,2360.18
2017-09-14,2377.66
2017-09-15,2386.07
2017-09-16,
2017-09-17,
2017-09-18,2418.21
2017-09-19,2416.05
2017-09-20,2412.2
2017-09-21,2406.5
2017-09-22,2388.71
2017-09-23,
2017-09-24,
2017-09-25,2380.4
2017-09-26,2374.32
2017-09-27,2372.57
2017-09-28,2373.14
2017-09-29,2394.47
2017-09-30,
2017-10-01,
2017-10-02,
2017-10-03,
2017-10-04,
2017-10-05,
2017-10-06,
2017-10-07,
2017-10-08,
2017-10-09,
2017-10-10,2433.81
2017-10-11,2458.16
2017-10-12,2474.76
2017-10-13,2473.62
2017-10-14,
2017-10-15,
2017-10-16,2480.05
2017-10-17,2484.37
2017-10-18,2482.91
2017-10-19,2473.06
2017-10-20,2489.54
2017-10-21,
2017-10-22,
2017-10-23,2490.05
2017-10-24,2490.49
2017-10-25,2492.5
2017-10-26,2480.63
2017-10-27,2496.63
2017-10-28,
2017-10-29,
2017-10-30,2501.93
2017-10-31,2523.43
2017-11-01,2556.47
2017-11-02,2546.36
2017-11-03,2557.97
2017-11-04,
2017-11-05,
2017-11-06,2549.41
2017-11-07,2545.44
2017-11-08,2552.4
2017-11-09,2550.57
2017-11-10,2542.95
2017-11-11,
2017-11-12,
2017-11-13,2530.35
2017-11-14,2526.64
2017-11-15,2518.25
2017-11-16,2534.79
2017-11-17,2533.99
2017-11-18,
2017-11-19,
2017-11-20,2527.67
2017-11-21,2530.7
2017-11-22,2540.51
2017-11-23,2537.15
2017-11-24,2544.33
2017-11-25,
2017-11-26,
2017-11-27,2507.81
2017-11-28,2514.19
2017-11-29,2512.9
2017-11-30,2476.37
2017-12-01,2475.41
2017-12-02,
2017-12-03,
2017-12-04,2501.67
2017-12-05,2510.12
2017-12-06,2474.37
2017-12-07,2461.98
2017-12-08,2464
2017-12-09,
2017-12-10,
2017-12-11,2471.49
2017-12-12,2461
